CUST_ID,AGE,GENDER,MARITAL_STATUS,OCCUPATION,ANNUAL_INCOME,CITY_TIER,EDUCATION,HOUSE_OWNERSHIP,DEPENDENTS,MOBILE_PHONE,EMAIL_SUBSCRIBED,LOYALTY_CARD,REGION
C10001,59,Male,Married,Salaried,1852958,Semi-Urban,Graduate,Own,3,Yes,Yes,Gold,North
C10002,49,Female,Married,Salaried,1170208,Urban,Postgraduate,Own,3,Yes,Yes,Platinum,East
C10003,35,Male,Married,Self-Employed,1016465,Metro,Professional,Own,2,Yes,Yes,None,Central
C10004,63,Female,Married,Salaried,1243515,Metro,Graduate,Rent,2,Yes,Yes,Gold,East
C10005,28,Male,Married,Self-Employed,2644921,Semi-Urban,Professional,Own,2,Yes,Yes,None,South
C10006,41,Other,Married,Self-Employed,1085252,Metro,Postgraduate,Rent,3,Yes,Yes,Silver,North
C10007,59,Female,Married,Salaried,1803864,Urban,Graduate,Rent,1,Yes,Yes,Silver,South
C10008,39,Female,Married,Unemployed,796401,Metro,Postgraduate,Rent,0,Yes,Yes,None,East
C10009,43,Female,Married,Self-Employed,2965141,Semi-Urban,High School,Rent,3,Yes,Yes,Gold,East
C10010,31,Female,Married,Salaried,1648714,Semi-Urban,Postgraduate,Rent,2,Yes,Yes,Silver,South
C10011,31,Female,Single,Salaried,1187326,Urban,Professional,Rent,2,Yes,Yes,Silver,West
C10012,44,Male,Single,Salaried,1474947,Metro,Doctorate,Own,1,No,Yes,Silver,South
C10013,56,Female,Single,Salaried,400544,Metro,High School,Own,2,Yes,Yes,Gold,Central
C10014,60,Female,Single,Salaried,1208785,Urban,High School,Family,2,Yes,Yes,Silver,West
C10015,44,Female,Single,Salaried,2675835,Rural,Professional,Rent,0,Yes,Yes,Gold,West
C10016,23,Male,Married,Self-Employed,2660309,Metro,Postgraduate,Rent,1,Yes,No,None,East
C10017,42,Male,Married,Salaried,1694951,Metro,Postgraduate,Rent,4,Yes,No,Silver,South
C10018,22,Male,Married,Self-Employed,2807677,Metro,Postgraduate,Own,4,Yes,Yes,None,South
C10019,44,Female,Single,Salaried,1884734,Semi-Urban,Postgraduate,Rent,2,Yes,Yes,None,Central
C10020,64,Male,Widowed,Salaried,2364866,Rural,Postgraduate,Family,2,Yes,Yes,Gold,East
C10021,50,Female,Married,Self-Employed,819454,Metro,Professional,Rent,0,Yes,No,Silver,Central
C10022,58,Female,Single,Self-Employed,2044755,Semi-Urban,High School,Own,4,Yes,Yes,None,West
C10023,22,Female,Married,Salaried,2683398,Urban,Postgraduate,Own,1,Yes,Yes,Silver,East
C10024,41,Female,Married,Salaried,876678,Semi-Urban,Postgraduate,Own,1,Yes,Yes,Silver,East
C10025,53,Male,Married,Salaried,2426396,Urban,Professional,Own,3,Yes,Yes,Silver,East
C10026,32,Male,Single,Salaried,2798297,Metro,Professional,Own,3,Yes,Yes,Platinum,South
C10027,42,Male,Married,Salaried,2370792,Semi-Urban,Graduate,Own,1,Yes,Yes,Silver,East
C10028,64,Female,Divorced,Self-Employed,2082754,Semi-Urban,Postgraduate,Family,3,Yes,Yes,Silver,Central
C10029,45,Male,Married,Salaried,1911274,Rural,Doctorate,Rent,0,Yes,Yes,Gold,Central
